account_number,acct_name,cusip,asset_name,shares,market_value,
337109990,Hahn Capital Mid Cap Value,776696106,ROPER TECHNOLOGIES ORD,13,3512,
337109990,Hahn Capital Mid Cap Value,778296103,ROSS STORES ORD,88,6807,
337109990,Hahn Capital Mid Cap Value,784117103,SEI INVESTMENTS ORD,95,6760,
337109990,Hahn Capital Mid Cap Value,833034101,SNAP ON ORD,29,4618,
337133659,Lazard Intl Select w Em,31680Q104,58.COM ADR REP 2 CL A ORD,26,1851,
337133659,Lazard Intl Select w Em,00373L102,ABN AMRO GROUP UNSPNSRD 2 ADR 1 ORD,188,2850,
337133659,Lazard Intl Select w Em,G1151C101,ACCENTURE CL A ORD,42,6508,
337133659,Lazard Intl Select w Em,01861B101,ALLIANCE GLOB UNSPON ADR REP 50 ORD,134,1988,
337133659,Lazard Intl Select w Em,03524A108,ANHEUSER BUSCH ADR REP 1 ORD,44,4585,
337133659,Lazard Intl Select w Em,G0408V102,AON CL A ORD,35,4899,
337133659,Lazard Intl Select w Em,045055100,ASHTEAD GROUP ADR,32,3608,
337133659,Lazard Intl Select w Em,045387107,ASSA ABLOY ADR,539,5678,
337133659,Lazard Intl Select w Em,05541J103,BB SEGURIDADE PAR SPON ADR REP ORD,357,3353,
337133659,Lazard Intl Select w Em,088606108,BHP BILLITON ADR REP 2 ORD,130,6084,
337133659,Lazard Intl Select w Em,110448107,BRITISH AMERICAN TOBACCO ADR REP ORD,104,6470,
337133659,Lazard Intl Select w Em,136375102,CANADIAN NATIONAL RAILWAY ORD,35,2690,
337133659,Lazard Intl Select w Em,142795202,CARLSBERG SPON ADR REPSTG CL B ORD,200,4650,
337133659,Lazard Intl Select w Em,171778202,CIELO ADR,529,3968,
337133659,Lazard Intl Select w Em,204319107,COMPAGNIE FINANCIERE RICHEMONT ADR,369,3341,
337133659,Lazard Intl Select w Em,20449X401,COMPASS GROUP PLC,234,4991,
337133659,Lazard Intl Select w Em,210771200,CONTINENTAL ADR REP ORD,79,4391,
337133659,Lazard Intl Select w Em,234062206,DAIWA HOUSE INDUSTRY ADR REP ORD,207,7625,
337133659,Lazard Intl Select w Em,23304Y100,DBS GROUP HOLDINGS ADR REP 4 ORD,57,4751,
337133659,Lazard Intl Select w Em,25157Y202,DEUTSCHE POST ADR,51,2299,
